dataset,method,seed,backbone,stage1_acc,stage1_nmi,stage1_pur,stage2_acc,stage2_nmi,stage2_pur,latent_dim_c,latent_dim_u,num_classes,batch_size,lr,lambda,gamma,w_pull,temperature_con,pre_train_epochs,fine_tune_epochs,update_interval,img_size,normalized
MULTI-MNIST,C3U-MVC,12,cae,0.9812,0.9567071822642527,0.9812,0.9938,0.9842429690453919,0.9938,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,2,cae,0.983,0.9581333617636262,0.983,0.9938,0.9833650319049803,0.9938,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,6,cae,0.9842,0.9599873775051572,0.9842,0.9936,0.9826177592897185,0.9936,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,21,cae,0.9822,0.9562440809523537,0.9822,0.9946,0.9849209710306722,0.9946,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,42,cae,0.9802,0.954586712586946,0.9802,0.9906,0.97662182831323,0.9906,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,101,cae,0.9866,0.9667767610641402,0.9866,0.9922,0.9793788900375975,0.9922,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,123,cae,0.9854,0.9624251469909587,0.9854,0.9944,0.9861125620043328,0.9944,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,2024,cae,0.9892,0.9708817251783354,0.9892,0.995,0.986169320895839,0.995,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,3407,cae,0.9852,0.9616255280439849,0.9852,0.9934,0.9820341533262128,0.9934,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
MULTI-MNIST,C3U-MVC,9999,cae,0.9816,0.9537047377820307,0.9816,0.9934,0.9824719876278467,0.9934,3,3,10,128,0.001,1.0,0.6,0.6,0.2,100,30,3,32,True
