dataset;method;seed;backbone;stage1_acc;stage1_nmi;stage1_pur;stage2_acc;stage2_nmi;stage2_pur;latent_dim_c;latent_dim_u;num_classes;batch_size;lr;lambda;gamma;w_pull;temperature_con;pre_train_epochs;fine_tune_epochs;update_interval;img_size;normalized
MULTI-MVP-N;C3U-MVC;12;cae;0.922;0.9731137506;0.9446666667;0.876;0.9783677341;0.947;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;2;cae;0.991;0.9851234231;0.991;0.993;0.9899355503;0.993;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;6;cae;0.9886666667;0.9840934611;0.9886666667;0.9926666667;0.99179493;0.9926666667;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;21;cae;0.994;0.98998587;0.994;0.9946666667;0.9928382246;0.9946666667;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;42;cae;0.9873333333;0.9814381689;0.9873333333;0.991;0.9884914013;0.991;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;101;cae;0.981;0.9703557483;0.981;0.991;0.9871873629;0.991;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;123;cae;0.9916666667;0.987165339;0.9916666667;0.9936666667;0.9904085567;0.9936666667;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;2024;cae;0.996;0.9934108887;0.996;0.9926666667;0.9895986328;0.9926666667;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;3407;cae;0.9836666667;0.9751700106;0.9836666667;0.982;0.9772303148;0.982;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
MULTI-MVP-N;C3U-MVC;9999;cae;0.992;0.9858084694;0.992;0.9936666667;0.9909469225;0.9936666667;10;10;17;128;0.001;1;0.6;0.6;0.2;100;30;3;64;True
