dataset,method,seed,backbone,stage1_acc,stage1_nmi,stage1_pur,stage2_acc,stage2_nmi,stage2_pur,latent_dim_c,latent_dim_u,num_classes,batch_size,lr,lambda,gamma,w_pull,temperature_con,pre_train_epochs,fine_tune_epochs,update_interval,img_size,normalized
MULTI-MVP-N,C3U-MVC,12,cae,0.922,0.9731137505676049,0.9446666666666667,0.932,0.9783677341346142,0.947,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,2,cae,0.991,0.9851234231369599,0.991,0.993,0.9899355502827969,0.993,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,6,cae,0.9886666666666667,0.9840934610542851,0.9886666666666667,0.9926666666666667,0.991794930037416,0.9926666666666667,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,21,cae,0.994,0.9899858700274234,0.994,0.9946666666666667,0.9928382245511159,0.9946666666666667,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,42,cae,0.9873333333333333,0.9814381688723325,0.9873333333333333,0.991,0.9884914013056317,0.991,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,101,cae,0.981,0.9703557483339141,0.981,0.991,0.9871873628849298,0.991,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,123,cae,0.9916666666666667,0.9871653390073227,0.9916666666666667,0.9936666666666667,0.9904085567382966,0.9936666666666667,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,2024,cae,0.996,0.9934108886842687,0.996,0.9926666666666667,0.9895986327521709,0.9926666666666667,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,3407,cae,0.9836666666666667,0.9751700106330798,0.9836666666666667,0.982,0.9772303147742136,0.982,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI-MVP-N,C3U-MVC,9999,cae,0.992,0.9858084693775382,0.992,0.9936666666666667,0.9909469225070902,0.9936666666666667,10,10,17,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
