dataset;method;seed;backbone;stage1_acc;stage1_nmi;stage1_pur;stage2_acc;stage2_nmi;stage2_pur;latent_dim_c;latent_dim_u;num_classes;batch_size;lr;lambda;gamma;w_pull;temperature_con;pre_train_epochs;fine_tune_epochs;update_interval;img_size;normalized
MULTI-MVP-N;GCFAgg;12;cae;;;;0.8273;0.8748;0.8273;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;2;cae;;;;0.842;0.8795;0.8463;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;6;cae;;;;0.8657;0.8938;0.8657;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;21;cae;;;;0.8157;0.8865;0.826;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;42;cae;;;;0.8563;0.8926;0.8593;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;101;cae;;;;0.8177;0.8659;0.8283;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;123;cae;;;;0.8237;0.8708;0.8333;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;2024;cae;;;;0.755;0.8422;0.775;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;3407;cae;;;;0.869;0.8936;0.869;;;;;;;;;;;;;64;True
MULTI-MVP-N;GCFAgg;9999;cae;;;;0.8557;0.8877;0.8603;;;;;;;;;;;;;64;True
