dataset,method,seed,backbone,stage1_acc,stage1_nmi,stage1_pur,stage2_acc,stage2_nmi,stage2_pur,latent_dim_c,latent_dim_u,num_classes,batch_size,lr,lambda,gamma,w_pull,temperature_con,pre_train_epochs,fine_tune_epochs,update_interval,img_size,normalized
MULTI_COIL_20,C3U-MVC,12,cae,0.9958333333333333,0.9952739978586226,0.9958333333333333,0.9958333333333333,0.9949914969525696,0.9958333333333333,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,2,cae,0.9958333333333333,0.9941119748205933,0.9958333333333333,0.9645833333333333,0.9899919672174,0.9645833333333333,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,6,cae,1.0,1.0,1.0,1.0,1.0,1.0,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,21,cae,1.0,1.0,1.0,1.0,1.0,1.0,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,42,cae,0.99375,0.9932258847064165,0.99375,0.9770833333333333,0.987691653399779,0.9770833333333333,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,101,cae,0.9979166666666667,0.9971678463140148,0.9979166666666667,0.9854166666666667,0.9899018622646734,0.9854166666666667,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,123,cae,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,2024,cae,1.0,1.0,1.0,1.0,1.0,1.0,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,3407,cae,0.99375,0.9935931486545115,0.99375,1.0,0.9999999999999999,1.0,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
MULTI_COIL_20,C3U-MVC,9999,cae,1.0,1.0,1.0,1.0,1.0,1.0,3,3,20,128,0.001,1.0,0.6,0.6,0.2,100,30,3,64,True
